Date,AAPL,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AMAT,APTV,ADM,ARNC,AJG,AIZ,ATO,T,ADSK
2015-09-08,7.347839900789023,6.059295664910637,2.362742134783272,3.0520307724788953,14.78263867468998,3.3929998185028367,1.5972878032061828,2.5930756597366384,0.29948783965579134,7.6167092910078775,0.709944594798511,14.839654673179226,2.449030593409901,1.7999970495895588,5.271796657686773,2.2445899176252873,5.878765606528023,4.844788346697284,2.8510724070175093,10.983111298047978,3.233835992438222,1.6676632387762915,11.83162858254294,18.42903369134163,2.0052176572899367,3.7174821379971648,57.29860525708082,53.03202708347016,2.4598255874968116,40.52993772864848,1.755977965641682,1.5170485394957036,1.665352781546784,2.2873647717122796,1.902972132705304,3.018043380645415,1.5077733049046715,6.2894265230387205,4.373068270870547,1.2968050265310516,8.188425169189248,2.191809941397523,4.641639358265948,4.378629034820849,2.404396038662125,8.675786579230715,4.046482587097535,3.532288078257011,5.809702898458863,1.4804074870398527,1.525873360640371,,2.3161170506022337,1.0284997576141515,2.0495944962040706,3.7987247153849966,1.679689329292147,0.9875102945898634,2.5773300288639716
2015-09-09,7.40784384015819,6.156866257979517,2.470087603377979,3.24257272132905,14.72063026776453,3.3979684192955317,1.598087599597953,2.5988591518670066,0.29776948578836065,7.477963669991609,0.7291667522195314,15.256592583532147,2.5219348683552507,1.8487861035006776,5.254426541196818,2.249833546887541,5.824497786356901,4.912892628895005,2.974643932544507,11.01778207811819,3.314935112828014,1.6725762124460597,11.957688044165343,18.657671519388966,2.0735658034513724,3.8141981852822586,56.36560153759476,52.28974632906707,2.370671220118554,39.87766641811918,1.7438383535722917,1.5126392077693094,1.6702698114190453,2.3091952275349894,1.9635623973114422,3.117930262897769,1.490736471006463,6.490212021991109,4.40487613734036,1.309722563022581,8.261421149341023,2.250987448104809,4.630615543395347,4.331638071534631,2.3723611923816104,8.66072223994699,4.165319050998387,3.5131850277985692,5.799905461434836,1.5321287119007152,1.5294491341508807,,2.333001170869151,1.0033406770007045,2.124140896462037,3.7110052051658924,1.6441513875889846,1.009850970713452,2.6659527544544748
2015-09-10,7.398983463447736,6.234934620147737,2.5754909794659975,3.4043306542387697,14.672862067195243,3.396549640926147,1.6087086861845736,2.6126318675664364,0.2953624126429392,7.345943005772955,0.7455186455397779,15.605307530952231,2.568624128839069,1.8830063337937522,5.214214543445839,2.2698725977837375,5.728104908908114,4.9728051712475585,3.080103710925433,11.130791174716185,3.366162109084015,1.6750887572401938,12.057468336413274,18.882838005929784,2.148225414005367,3.8846967466662883,55.46062214185459,51.56982085615176,2.2927149364151473,39.32089616078191,1.7335445873002755,1.5002615214581663,1.6760314304726398,2.323969056407929,2.0304398510422383,3.2416361696675846,1.4650313719862982,6.638789052586946,4.396421153029138,1.324018493734682,8.298700184110896,2.278510267597669,4.574114748720609,4.282823646003682,2.356579801657812,8.610289001822974,4.257135701211673,3.477660035430997,5.756804953864242,1.580321598894427,1.5247170039356392,,2.333960982976471,0.9746383365154417,2.1868203770730363,3.6615664425979366,1.6225311884913545,1.030994747557706,2.7453094769614124
2015-09-11,7.364062558521581,6.281037993583455,2.6639374239779072,3.563926653578934,14.609720280233494,3.3919258524766236,1.620879240632044,2.5919739372229222,0.2890746487369152,7.199627460151567,0.761138958485441,15.94616233430764,2.6018499720076464,1.9135728333932338,5.160287306414545,2.2917390887375144,5.616245229708688,5.031465725276561,3.1173477563304406,11.272239580912483,3.4266208420950792,1.6769909408875583,12.130709915369353,19.025727894640404,2.2076572955201357,3.9372592061607414,54.558873440288664,50.85168173143583,2.2265116492607646,38.81565871777656,1.7236711167284664,1.5002807552696205,1.6797300697863906,2.318678338469667,2.0896852613552324,3.3347346560091764,1.4434971658429774,6.766469675126712,4.349290168723075,1.332967156638906,8.329056830374933,2.3000541383950086,4.564638026255158,4.203849657408114,2.339863606049486,8.531923594711056,4.342792701284233,3.4356022177880385,5.751955155192394,1.603646656489543,1.5247506858351894,,2.348842069573136,0.9452760186381364,2.2400167725360585,3.621999677894333,1.6000100282171759,1.050629136242164,2.813301349742619
2015-09-14,7.29967931102357,6.265151767249492,2.7481055570233046,3.7201016441675083,14.57514698785276,3.4016319571273606,1.6363957634486885,2.6047487747148454,0.2817866224024301,7.076835019858933,0.7715300485523671,16.249335161540976,2.6343925371037735,1.9490348473432269,5.0926743665177625,2.3085410439089924,5.525701571122615,5.0453463594688595,3.1343822276730497,11.52410093555588,3.482033969531588,1.6781975466700714,12.243319011759912,19.110070882980423,2.2605525235801114,3.960997602328241,53.798026568672626,50.2268123781179,2.1835663760564223,38.41153029684902,1.7189739664040964,1.5023726503461423,1.6908418238990564,2.307026383564697,2.1556179655864773,3.4377286878218527,1.4386989080494552,6.87978267952679,4.2873587802671995,1.347788259368081,8.419068744883422,2.2933685473088046,4.561586848484997,4.065724974615101,2.3349976167131614,8.457134551992603,4.416850026041443,3.38467373186641,5.742865522261459,1.6294598165604894,1.512054694684552,,2.3393932950020546,0.9172930422845609,2.2873386393027526,3.598132048339544,1.5906287975990687,1.0710221502507473,2.8699576514130527
2015-09-15,7.245529918956751,6.195949877703052,2.80683251821528,3.84870157501972,14.596498918506633,3.3911907271666837,1.6621163993960506,2.606304355609251,0.27132125974331334,6.969698781273949,0.777390172452674,16.411256468353,2.653650167041538,1.9712680251854864,5.05616431683814,2.340904751692635,5.422346446760862,5.011046585430628,3.1301651370671904,11.76063472455005,3.5021363778470556,1.6780694028864491,12.227083229199767,19.03379055621467,2.3055449923747773,3.9922181365398717,53.11649395485819,49.65380844514683,2.139493181444252,37.852526794729975,1.7085089395756932,1.5147404054036224,1.6972992421827344,2.286601572511652,2.1993679369386467,3.513797967753977,1.4332967805088526,6.979166544059561,4.228152736712752,1.353183847606738,8.485461118612214,2.2786778553278593,4.552355012319689,3.9237499673777774,2.3304753037186607,8.34407035811909,4.471294542635898,3.332590528818147,5.733003124934452,1.6577318501511882,1.4933999122882922,,2.302621718750395,0.8837142180642875,2.3236751039464325,3.588456398235026,1.5784822414080955,1.0823692885684661,2.9156831917368264
2015-09-16,7.1664800292673165,6.08575287925393,2.8579961373143865,3.947612823675806,14.575997261189071,3.390111975884904,1.7104224603699234,2.6017557780335623,0.25803341438242255,6.942459096392381,0.7760250010533792,16.390668844482622,2.6642412292590274,1.981695124122728,4.97978267399524,2.3625083265928004,5.342445259984587,4.943578737560807,3.1217718196219018,12.02216248631902,3.5160536550349857,1.6761172511336286,12.256713012469918,18.89467127821645,2.3345674238490486,4.0172186459935055,52.42095771105887,49.06230571547401,2.121780585524213,37.331946634859676,1.696487722684791,1.5153965261130669,1.6943208895708386,2.234934850350468,2.233428592284969,3.5609984753216066,1.4307111739540326,7.015502317608084,4.158421972946531,1.3539978364986351,8.560662232158606,2.247801688178591,4.446989113449836,3.7645989828150848,2.3319178777779053,8.010863316362673,4.507821438820941,3.2728969656899785,5.635258494965822,1.6795711720656348,1.4641042531610835,,2.2229295832759517,0.852529287731872,2.3476673360814653,3.5546820044192944,1.5710370373996287,1.0901731578627047,2.932146275283926
2015-09-17,7.114563750914001,5.97639508333354,2.896942553484982,4.027334344315594,14.627798437175818,3.388748681610565,1.7719127105912562,2.5812876650786047,0.2438662224730491,6.913700103728125,0.7789688969226514,16.362425133302818,2.6852265577911125,1.9948026465969257,4.920849864589214,2.3821529513479582,5.26870216064893,4.859245701269978,3.1172121218212774,12.251785963433418,3.5067771190527623,1.6757802803537007,12.331043435305173,18.732171029999915,2.34508797252258,4.041366451660943,51.811249971563214,48.54018764236415,2.068090469996546,37.179095705975854,1.6752557018755538,1.5469962329082734,1.678596493038347,2.1772142829539405,2.270377771646948,3.5862457117554842,1.4297660904659941,7.055809674976674,4.086465866349054,1.357170744371753,8.593999871149064,2.216527645273093,4.328835114245841,3.6134628787340057,2.332063149032009,7.693466762078586,4.524717087013732,3.2099516690308914,5.498794228383292,1.6916355456211813,1.430362195350215,,2.130689783802951,0.8196381315352532,2.3661220687165896,3.5202259613850138,1.5641425513373137,1.0823386872408989,2.9547326970023615
2015-09-18,7.037142084806282,5.987616080518741,2.958342770733733,4.074685305515386,14.639676113046848,3.3908055140183144,1.831533462278639,2.5613642791174644,0.22777100949936405,6.823711275029755,0.7882834816597635,16.442387127886228,2.7279414021905524,2.01181086035769,4.9119835477003075,2.3791187821078834,5.162669072209851,4.790575599682278,3.12133016607501,12.516243343326998,3.523763620973645,1.672333284910319,12.50057627033204,18.624586429260905,2.3569222725558996,4.095918221039909,50.90417498417196,47.75378914773246,1.998344116772608,36.8559020486434,1.6520508056372436,1.5706889794151226,1.6517795488399958,2.141196475018841,2.32517659252809,3.6325381820522726,1.4228421068470776,7.167174897890531,4.0557857675289215,1.3847374162145163,8.677709505387142,2.2165245547241095,4.294106011811781,3.48642282941702,2.3331704382202676,7.4538021693401575,4.620847269876523,3.162321123321562,5.396929028424666,1.7044565961430713,1.3890580553286922,,2.0725735182860388,0.7842459223142959,2.4040539854528262,3.4561150056390493,1.5386314540566481,1.0806471172822523,2.9824657025131165
2015-09-21,6.947642254933878,6.01181105852412,3.0170862585490363,4.155281830441282,14.587038228982076,3.3928950814749643,1.8989120640082862,2.5501232093309345,0.21227473936328167,6.749778075447592,0.8028763791680517,16.469546163122136,2.7448262373866905,2.029122963252853,4.908842200703702,2.376036168557573,5.076887239199587,4.684540855046405,3.11897156380422,12.94592318525964,3.5426488541704098,1.672281198476916,12.92629379158751,18.379423403163674,2.3596268497490245,4.13333472298141,49.955240910872064,46.88352655980141,1.9366890247355744,36.599248093214825,1.6233237421264113,1.5876325159335019,1.6146270930829416,2.1164717135186657,2.3723536847716398,3.678789318166704,1.4075673108108728,7.232922110730217,4.048485309975141,1.4098068946582851,8.829698018074843,2.222725842179265,4.256085609749203,3.3562059000879656,2.3330126494724612,7.067766288632751,4.680713581577946,3.1091208768908856,5.3139389350696735,1.7114245148578797,1.3490899082376078,,2.029861055332311,0.752764321878846,2.427805238654043,3.3837399661014302,1.5114375523243813,1.0637372025825913,2.995249892897811
