Date,True Close,Close,Ecart
2017-01-03,116.46,120.12479355743108,3.664793557431082
2017-01-04,116.74,119.60360397156091,2.86360397156092
2017-01-05,114.99,119.64469536833076,4.6546953683307635
2017-01-06,116.3,118.91575617019225,2.615756170192256
2017-01-09,115.0,119.06465272982314,4.064652729823138
2017-01-10,115.06,118.0953298166396,3.035329816639603
2017-01-11,116.12,118.82097061275726,2.70097061275726
2017-01-12,115.78,119.55547598381327,3.7754759838132657
2017-01-13,116.95,119.49461329608948,2.54461329608948
2017-01-17,116.03,119.08618125640442,3.0561812564044146
2017-01-18,115.95,118.17974022661656,2.2297402266165562
2017-01-19,115.5,118.24495106865652,2.744951068656519
2017-01-20,115.07,118.88519480236664,3.8151948023666478
2017-01-23,114.82,118.10873566972259,3.2887356697225982
2017-01-24,116.48,118.77163416699386,2.291634166993859
2017-01-25,117.57,119.12648294880637,1.5564829488063765
2017-01-26,115.93,118.8709896843302,2.940989684330191
2017-01-27,115.35,118.01404571814328,2.664045718143285
2017-01-30,114.63,119.28582349211138,4.655823492111381
2017-01-31,113.87,119.51052593470831,5.640525934708307
2017-02-01,113.21,118.86428580173015,5.654285801730154
2017-02-02,113.64,118.48882248531663,4.8488224853166315
2017-02-03,114.49,118.55865300230289,4.068653002302895
2017-02-06,114.18,117.61016260507131,3.4301626050713026
2017-02-07,115.92,117.08611822835064,1.1661182283506406
2017-02-08,115.43,117.57417847311171,2.144178473111708
2017-02-09,116.98,117.82493351138055,0.8449335113805461
2017-02-10,117.6,118.1603341500313,0.5603341500313093
2017-02-13,118.59,118.30415021449153,0.28584978550847495
2017-02-14,120.0,117.66391412924986,2.3360858707501393
2017-02-15,119.93,118.2466165226624,1.6833834773375997
2017-02-16,120.72,117.31991852417377,3.4000814758262266
2017-02-17,121.23,116.98827519565111,4.241724804348891
