Date,AAPL,ABT,ACN,ATVI,ADBE,AMD,GOOGL,GOOG,AMZN,AAL,BLK,CBS,MSFT,FB
2015-12-17,108.98,45.26,103.26,38.87,94.2,2.56,769.83,749.43,670.65,42.46,330.21,46.52,55.7,106.22
2015-12-18,106.03,43.7,101.93,38.47,91.31,2.45,756.85,739.31,664.14,41.09,321.47,45.66,54.13,104.04
2015-12-21,107.33,44.04,102.99,38.74,91.62,2.53,760.8,747.77,664.51,42.4,325.55,45.79,54.83,104.77
2015-12-22,107.23,44.48,103.76,39.21,93.82,2.77,767.13,750.0,663.15,42.895,330.51,46.61,55.35,105.51
2015-12-23,108.61,45.1,104.42,38.84,94.7,2.83,768.51,750.31,663.7,43.29,339.64,47.23,55.82,104.63
2015-12-24,108.03,45.1,104.23,38.92,94.3,2.92,765.84,748.4,662.79,43.81,337.4,47.44,55.67,105.02
2015-12-28,106.82,45.03,104.08,39.03,94.2,3.0,782.24,762.51,675.2,43.23,342.45,46.83,55.95,105.93
2015-12-29,108.74,45.82,105.32,39.58,95.33,3.0,793.96,776.6,693.97,43.5,343.6,47.29,56.55,107.26
2015-12-30,107.32,45.27,105.86,39.43,95.28,2.98,790.3,771.0,689.07,42.8,342.05,46.76,56.31,106.22
2015-12-31,105.26,44.91,104.5,38.71,93.94,2.87,778.01,758.88,675.89,42.35,340.52,47.13,55.48,104.66
2016-01-04,105.35,42.93,101.83,37.62,91.97,2.77,759.44,741.84,636.99,40.91,333.1,46.65,54.8,102.22
2016-01-05,102.71,42.92,102.36,37.14,92.34,2.75,761.53,742.58,633.79,40.52,333.96,46.12,55.05,102.73
2016-01-06,100.7,42.56,102.16,36.79,91.02,2.505,759.33,743.62,632.65,41.23,330.16,46.13,54.05,102.97
2016-01-07,96.45,41.54,99.16,36.27,89.11,2.275,741.0,726.39,607.94,40.45,315.73,45.34,52.17,97.92
2016-01-08,96.96,40.67,98.2,35.71,87.85,2.14,730.91,714.47,607.05,40.37,307.78,46.46,52.33,97.33
