Date,MMM,ABT,ABBV
2005-01-03,59.569712970513,15.936162733643,
2005-01-04,59.085347585923,15.77567427243,
2005-01-05,58.362414176086,15.594697922552,
2005-01-06,58.890155565267,15.946406677976,
2005-01-07,59.497419629529,16.219578526849,
2005-01-10,60.683030421661,16.376652339951,
2005-01-11,61.239689147235,16.076163306191,
2005-01-12,61.420422499694,16.113724435411,
2005-01-13,60.574590410186,15.804703510802,
2005-01-14,60.704718423956,15.88024195904,
2005-01-18,59.294998274775,15.808137076631,
2005-01-19,59.403438286251,15.81157064246,
2005-01-20,59.967326345923,15.708563667591,
2005-01-21,58.752798217398,15.787535681657,
2005-01-24,59.005824910841,15.770367852513,
2005-01-25,59.873345002644,15.763500720855,
2005-01-26,60.307105048546,15.756633589197,
2005-01-27,59.923950341333,15.60899025855,
2005-01-28,60.184206368874,15.5437525078,
2005-01-31,60.986662453792,15.457913362075,
2005-02-01,60.784241099038,15.639892351011,
2005-02-02,60.249270375759,15.670794443472,
2005-02-03,60.249270375759,15.67766157513,
2005-02-04,60.784241099038,15.629591653524,
2005-02-07,60.639654417071,15.653626614327,
2005-02-08,60.972203785596,15.547186073629,
2005-02-09,60.256499709858,15.505983283681,
2005-02-10,60.654113085268,15.444179098759,
2005-02-11,60.755323762645,15.863074129895,
2005-02-14,61.167395806251,15.962647538935,
2005-02-15,62.165043911825,16.093123040437,
2005-02-16,62.750619973793,16.079388777121,
2005-02-17,61.962622557071,15.986682499738,
2005-02-18,61.846953211497,15.931745446475,
2005-02-22,60.769782430841,15.602123126892,
2005-02-23,60.972203785596,15.705130101762,
2005-02-24,61.226496818543,15.918011183159,
2005-02-25,61.466258821036,15.887109090698,
2005-02-28,60.98673481605,15.790969247486,
2005-03-01,61.371807123085,15.780668549999,
2005-03-02,61.437196760128,15.815004208289,
2005-03-03,61.684224277849,15.797836379144,
2005-03-04,62.817644653272,15.935179012304,
2005-03-07,62.999282533949,16.017584592199,
2005-03-08,62.759520531455,15.966081104764,
2005-03-09,62.570617135552,15.760067155026,
2005-03-10,62.955689442586,15.893976222356,
2005-03-11,62.214606889425,15.794402813315,
2005-03-14,62.410775800556,15.835605603263,
2005-03-15,62.381713739648,15.67766157513,
2005-03-16,62.483430952827,15.595255995234,
2005-03-17,62.461634407145,15.289668636455,
2005-03-18,62.59967919646,15.269067241481,
2005-03-21,62.243668950333,15.063053291742,
2005-03-22,62.032969008748,15.025284067624,
2005-03-23,61.807738036709,15.313703597258,
2005-03-24,61.960313856477,15.430444835443,
2005-03-28,61.88039318898,15.512850415339,
2005-03-29,61.502586397172,15.708563667591,
2005-03-30,62.468899922373,16.051920250489,
2005-03-31,62.258199980787,16.007283894712,
2005-04-01,61.844065612844,15.859640564066,
2005-04-04,61.538913973307,15.856206998237,
2005-04-05,61.371807123085,16.206430712793,
2005-04-06,61.626100156032,16.347206911781,
2005-04-07,61.873127673753,16.601290783126,
2005-04-08,61.429931244901,16.433046057506,
2005-04-11,61.371807123085,16.395276833387,
2005-04-12,61.938517310796,16.446780320822,
2005-04-13,61.190169242408,16.589273302725,
2005-04-14,59.853314440626,16.67560382574,
2005-04-15,58.748956126111,17.221212731201,
2005-04-18,55.145260573483,16.913876069264,
2005-04-19,55.893608641872,16.634165174693,
2005-04-20,55.145260573483,16.333734954598,
2005-04-21,56.721877377758,16.603086186407,
2005-04-22,55.988060339824,16.426971919455,
2005-04-25,56.315008525042,16.496036337868,
2005-04-26,55.312367423706,16.554741093518,
2005-04-27,55.653846639378,16.737761802312,
2005-04-28,54.658471053269,16.606539407328,
2005-04-29,55.559394941426,16.976034045836,
2005-05-02,55.857281065736,17.05200490609,
2005-05-03,55.770094883011,17.010566255042,
2005-05-04,56.198760281409,17.16596119647,
2005-05-05,56.285946464134,16.986393708598,
2005-05-06,56.184229250955,16.927688952947,
2005-05-09,56.474849860037,16.94495505755,
2005-05-10,55.661112154605,16.868984197296,
2005-05-11,55.937201733234,17.010566255042,
2005-05-12,55.058074390758,16.962221162153,
2005-05-13,54.934560631898,16.83790520901,
2005-05-16,55.523067365291,17.083083894375,
2005-05-17,55.951732763688,17.062364568851,
2005-05-18,57.048825562976,17.041645243328,
2005-05-19,56.873515471617,16.934595394788,
2005-05-20,56.289148500422,16.879343860058,
2005-05-23,57.362922809994,16.817185883486,
2005-05-24,57.114566847236,16.806826220725,
2005-05-25,56.289148500422,16.658337721137,
2005-05-26,56.230711803302,16.651431279296,
2005-05-27,56.230711803302,16.575460419042,
2005-05-31,55.989660427684,16.658337721137,
2005-06-01,56.245320977582,16.689416709423,
2005-06-02,55.931223730564,16.665244162979,
2005-06-03,55.514862263588,16.668697383899,
2005-06-06,55.631735657827,16.730855360471,
2005-06-07,55.763218226346,16.83790520901,
2005-06-08,55.923919143425,16.803372999804,
2005-06-09,55.646344832107,16.913876069264,
2005-06-10,55.361465933649,16.886250301899,
2005-06-13,55.580603547847,16.868984197296,
2005-06-14,55.996965014824,16.927688952947,
2005-06-15,55.609821896407,16.927688952947,
2005-06-16,56.004269601964,16.948408278471,
2005-06-17,56.186884280463,17.069271010693,
2005-06-20,56.384108133241,17.05545812701,
2005-06-21,56.384108133241,17.076177452534,
2005-06-22,56.888124645897,17.169414417391,
2005-06-23,55.419902630768,16.948408278471,
2005-06-24,55.13502373231,16.927688952947,
2005-06-27,55.361465933649,16.917329290185,
2005-06-28,56.318366848982,17.093443557137,
2005-06-29,55.544080612147,17.00020659228,
2005-06-30,52.812165021808,16.924235732026,
2005-07-01,53.323486121604,16.931142173867,
